38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2018,,,2018,,,2018,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,10.44,9.63,-,18.49,18.52,-,15.97,15.68,-
SUMATERA UTARA,9.15,8.84,-,9.3,9.05,-,9.22,8.94,-
SUMATERA BARAT,4.86,4.99,-,8.07,7.9,-,6.65,6.55,-
RIAU,6.35,6.25,-,8.09,7.86,-,7.39,7.21,-
JAMBI,10.41,10.08,-,6.75,6.8,-,7.92,7.85,-
SUMATERA SELATAN,12.18,12.43,-,13.17,13.05,-,12.8,12.82,-
BENGKULU,15.25,14.94,-,15.52,15.64,-,15.43,15.41,-
LAMPUNG,9.27,9.06,-,14.76,14.73,-,13.14,13.01,-
KEP. BANGKA BELITUNG,3.09,2.78,-,7.76,7.16,-,5.25,4.77,-
KEP. RIAU,5.45,5.15,-,10.77,11.26,-,6.2,5.83,-
DKI JAKARTA,3.57,3.55,-,-,-,-,3.57,3.55,-
JAWA BARAT,6.47,6.33,-,10.25,10.07,-,7.45,7.25,-
JAWA TENGAH,9.73,9.67,-,12.99,12.8,-,11.32,11.19,-
DI YOGYAKARTA,11.03,10.73,-,15.12,14.71,-,12.13,11.81,-
JAWA TIMUR,7.06,6.97,-,15.3,15.21,-,10.98,10.85,-
BANTEN,4.38,4.24,-,7.33,7.67,-,5.24,5.25,-
BALI,3.32,3.36,-,5.38,5.08,-,4.01,3.91,-
NUSA TENGGARA BARAT,15.94,15.66,-,13.72,13.69,-,14.75,14.63,-
NUSA TENGGARA TIMUR,9.94,9.09,-,24.74,24.65,-,21.35,21.03,-
KALIMANTAN BARAT,5.03,4.58,-,9.16,8.84,-,7.77,7.37,-
KALIMANTAN TENGAH,4.7,4.56,-,5.47,5.45,-,5.17,5.1,-
KALIMANTAN SELATAN,3.54,3.6,-,5.4,5.56,-,4.54,4.65,-
KALIMANTAN TIMUR,4.14,4.36,-,9.84,9.65,-,6.03,6.06,-
KALIMANTAN UTARA,5.46,5.16,-,9.36,9.48,-,7.09,6.86,-
SULAWESI UTARA,5.13,4.82,-,10.48,10.57,-,7.8,7.59,-
SULAWESI TENGAH,10.15,9.5,-,15.51,15.41,-,14.01,13.69,-
SULAWESI SELATAN,4.61,4.48,-,12.24,12.15,-,9.06,8.87,-
SULAWESI TENGGARA,6.56,6.87,-,14.77,14.07,-,11.63,11.32,-
GORONTALO,5.26,4.45,-,24.09,23.86,-,16.81,15.83,-
SULAWESI BARAT,9.64,9.8,-,11.75,11.66,-,11.25,11.22,-
MALUKU,6.22,6.15,-,26.64,26.61,-,18.12,17.85,-
MALUKU UTARA,3.8,4.21,-,7.78,7.58,-,6.64,6.62,-
PAPUA BARAT,5.1,5.57,-,35.31,34.29,-,23.01,22.66,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.51,4.01,-,36.63,36.65,-,27.74,27.43,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.02,6.89,-,13.2,13.1,-,9.82,9.66,-
