38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2015,,,2015,,,2015,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,11.13,10.92,-,19.44,19.56,-,17.08,17.11,-
SUMATERA UTARA,10.16,10.51,-,10.89,11.06,-,10.53,10.79,-
SUMATERA BARAT,5.73,5.73,-,8.35,7.35,-,7.31,6.71,-
RIAU,6.79,7.05,-,9.46,9.95,-,8.42,8.82,-
JAMBI,11.6,12.11,-,7.67,7.82,-,8.86,9.12,-
SUMATERA SELATAN,13.62,12.51,-,14.6,14.47,-,14.25,13.77,-
BENGKULU,17.79,18.15,-,17.93,16.71,-,17.88,17.16,-
LAMPUNG,10.94,9.25,-,15.56,15.05,-,14.35,13.53,-
KEP. BANGKA BELITUNG,2.98,2.77,-,7.75,6.83,-,5.4,4.83,-
KEP. RIAU,5.46,5,-,10.23,9.75,-,6.24,5.78,-
DKI JAKARTA,3.93,3.61,-,-,-,-,3.93,3.61,-
JAWA BARAT,8.43,8.58,-,11.82,11.61,-,9.53,9.57,-
JAWA TENGAH,11.85,11.5,-,15.05,14.86,-,13.58,13.32,-
DI YOGYAKARTA,13.43,11.93,-,17.85,15.62,-,14.91,13.16,-
JAWA TIMUR,8.19,8.41,-,16.18,15.84,-,12.34,12.28,-
BANTEN,5.03,5.11,-,7.78,7.12,-,5.9,5.75,-
BALI,4.31,4.52,-,5.44,6.42,-,4.74,5.25,-
NUSA TENGGARA BARAT,19.24,18.4,-,15.53,15.18,-,17.1,16.54,-
NUSA TENGGARA TIMUR,11.28,9.41,-,25.46,25.89,-,22.61,22.58,-
KALIMANTAN BARAT,5.62,6,-,9.09,9.51,-,8.03,8.44,-
KALIMANTAN TENGAH,4.86,5.68,-,6.5,6.02,-,5.94,5.91,-
KALIMANTAN SELATAN,3.91,4.27,-,5.78,5.06,-,4.99,4.72,-
KALIMANTAN TIMUR,4.03,3.73,-,9.96,10.13,-,6.23,6.1,-
KALIMANTAN UTARA,3.67,3.68,-,9.49,9.67,-,6.24,6.32,-
SULAWESI UTARA,5.52,5.26,-,11.27,12.1,-,8.65,8.98,-
SULAWESI TENGAH,10.93,11.06,-,15.9,15.07,-,14.66,14.07,-
SULAWESI SELATAN,4.61,4.93,-,12.23,13.22,-,9.39,10.12,-
SULAWESI TENGGARA,7.24,7.84,-,15.19,16.12,-,12.9,13.74,-
GORONTALO,6.48,6.84,-,24.62,24.17,-,18.32,18.16,-
SULAWESI BARAT,10.52,8.69,-,12.87,12.7,-,12.4,11.9,-
MALUKU,7.91,7.83,-,26.9,26.7,-,19.51,19.36,-
MALUKU UTARA,3.85,2.61,-,7.95,7.57,-,6.84,6.22,-
PAPUA BARAT,5.86,5.68,-,37.97,37.94,-,25.82,25.73,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.61,3.61,-,36.66,37.34,-,28.17,28.4,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,8.29,8.22,-,14.21,14.09,-,11.22,11.13,-
