38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2014,,,2014,,,2014,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,11.76,11.36,-,20.52,19.19,-,18.05,16.98,-
SUMATERA UTARA,9.35,9.81,-,9.4,9.89,-,9.38,9.85,-
SUMATERA BARAT,5.43,5.41,-,8.68,7.84,-,7.41,6.89,-
RIAU,6.9,6.53,-,8.92,8.93,-,8.12,7.99,-
JAMBI,9.85,10.67,-,7.07,7.39,-,7.92,8.39,-
SUMATERA SELATAN,12.93,12.96,-,14.46,13.99,-,13.91,13.62,-
BENGKULU,18.22,17.19,-,17.14,17.04,-,17.48,17.09,-
LAMPUNG,11.08,10.68,-,15.41,15.46,-,14.28,14.21,-
KEP. BANGKA BELITUNG,3.39,3.04,-,7.27,6.84,-,5.36,4.97,-
KEP. RIAU,6.09,5.61,-,9.86,10.54,-,6.7,6.4,-
DKI JAKARTA,3.92,4.09,-,-,-,-,3.92,4.09,-
JAWA BARAT,8.47,8.32,-,11.35,10.88,-,9.44,9.18,-
JAWA TENGAH,12.68,11.5,-,15.96,15.35,-,14.46,13.58,-
DI YOGYAKARTA,13.81,13.36,-,17.36,16.88,-,15,14.55,-
JAWA TIMUR,8.35,8.3,-,16.13,15.92,-,12.42,12.28,-
BANTEN,4.73,4.74,-,6.67,7.18,-,5.35,5.51,-
BALI,4.01,4.35,-,5.34,5.39,-,4.53,4.76,-
NUSA TENGGARA BARAT,18.54,19.17,-,16.31,15.52,-,17.25,17.05,-
NUSA TENGGARA TIMUR,10.23,10.68,-,22.15,21.78,-,19.82,19.6,-
KALIMANTAN BARAT,5.76,5.47,-,9.76,9.2,-,8.54,8.07,-
KALIMANTAN TENGAH,4.98,4.75,-,6.57,6.74,-,6.03,6.07,-
KALIMANTAN SELATAN,3.79,3.68,-,5.33,5.64,-,4.68,4.81,-
KALIMANTAN TIMUR,4.01,3.98,-,10.33,10.06,-,6.42,6.31,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,5.51,5.57,-,11.41,10.47,-,8.75,8.26,-
SULAWESI TENGAH,9.77,10.35,-,15.27,14.66,-,13.93,13.61,-
SULAWESI SELATAN,5.22,4.93,-,13.25,12.25,-,10.28,9.54,-
SULAWESI TENGGARA,7.06,6.62,-,16.78,15.17,-,14.05,12.77,-
GORONTALO,6.6,6.24,-,23.1,23.21,-,17.44,17.41,-
SULAWESI BARAT,9.16,9.99,-,13.19,12.67,-,12.27,12.05,-
MALUKU,7.8,7.35,-,26.28,25.49,-,19.13,18.44,-
MALUKU UTARA,3.95,3.58,-,8.56,8.85,-,7.3,7.41,-
PAPUA BARAT,5.86,5.52,-,36.16,35.01,-,27.13,26.26,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.47,4.46,-,38.92,35.87,-,30.05,27.8,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,8.34,8.16,-,14.17,13.76,-,11.25,10.96,-
