38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2013,,,2013,,,2013,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,11.59,11.55,-,19.96,20.14,-,17.6,17.72,-
SUMATERA UTARA,9.98,10.45,-,10.13,10.33,-,10.06,10.39,-
SUMATERA BARAT,6.17,6.38,-,9.39,8.3,-,8.14,7.56,-
RIAU,6.15,6.68,-,8.73,9.55,-,7.72,8.42,-
JAMBI,9.89,10.41,-,7.27,7.54,-,8.07,8.42,-
SUMATERA SELATAN,13.77,13.28,-,14.5,14.5,-,14.24,14.06,-
BENGKULU,16.64,17.29,-,19.1,17.97,-,18.34,17.75,-
LAMPUNG,11.59,10.89,-,16,15.62,-,14.86,14.39,-
KEP. BANGKA BELITUNG,3.47,3.47,-,6.91,6.97,-,5.21,5.25,-
KEP. RIAU,6.23,5.79,-,7.48,9.21,-,6.46,6.35,-
DKI JAKARTA,3.55,3.72,-,-,-,-,3.55,3.72,-
JAWA BARAT,8.44,8.69,-,11.59,11.42,-,9.52,9.61,-
JAWA TENGAH,12.87,12.53,-,15.99,16.05,-,14.56,14.44,-
DI YOGYAKARTA,13.43,13.73,-,19.29,17.62,-,15.43,15.03,-
JAWA TIMUR,8.57,8.9,-,16.15,16.23,-,12.55,12.73,-
BANTEN,4.76,5.27,-,7.72,7.22,-,5.74,5.89,-
BALI,3.9,4.17,-,4.04,5,-,3.95,4.49,-
NUSA TENGGARA BARAT,20.28,18.69,-,16.32,16.22,-,17.97,17.25,-
NUSA TENGGARA TIMUR,11.54,10.1,-,22.13,22.69,-,20.03,20.24,-
KALIMANTAN BARAT,5.3,5.68,-,9.51,10.07,-,8.24,8.74,-
KALIMANTAN TENGAH,4.3,5.8,-,6.75,6.45,-,5.93,6.23,-
KALIMANTAN SELATAN,3.25,3.75,-,5.88,5.5,-,4.77,4.76,-
KALIMANTAN TIMUR,3.71,3.99,-,9.9,10.24,-,6.06,6.38,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,6.04,6.12,-,9.4,10.46,-,7.88,8.5,-
SULAWESI TENGAH,8.9,9.45,-,16.53,15.89,-,14.67,14.32,-
SULAWESI SELATAN,4.89,5.23,-,12.24,13.31,-,9.54,10.32,-
SULAWESI TENGGARA,4.92,5.52,-,15.82,16.92,-,12.83,13.73,-
GORONTALO,4.77,6,-,24.07,24.22,-,17.51,18.01,-
SULAWESI BARAT,9.19,8.57,-,13.27,13.31,-,12.3,12.23,-
MALUKU,7.93,7.96,-,26.35,26.3,-,19.49,19.27,-
MALUKU UTARA,2.99,3.56,-,9.22,9.2,-,7.5,7.64,-
PAPUA BARAT,5.65,4.89,-,35.64,36.89,-,26.67,27.14,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,6.11,5.22,-,39.92,40.72,-,31.13,31.53,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,8.39,8.52,-,14.32,14.42,-,11.37,11.47,-
