38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2017,,,2017,,,2017,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,11.11,10.42,-,19.37,18.36,-,16.89,15.92,-
SUMATERA UTARA,9.8,8.96,-,10.66,9.62,-,10.22,9.28,-
SUMATERA BARAT,5.14,5.11,-,8.1,7.94,-,6.87,6.75,-
RIAU,6.79,6.55,-,8.43,7.99,-,7.78,7.41,-
JAMBI,10.94,10.53,-,6.92,6.66,-,8.19,7.9,-
SUMATERA SELATAN,12.45,12.36,-,13.62,13.54,-,13.19,13.1,-
BENGKULU,16.33,15.41,-,16.51,15.67,-,16.45,15.59,-
LAMPUNG,10.03,9.13,-,15.08,14.56,-,13.69,13.04,-
KEP. BANGKA BELITUNG,2.89,3,-,7.74,7.92,-,5.2,5.3,-
KEP. RIAU,5.2,5.39,-,10.92,10.49,-,6.06,6.13,-
DKI JAKARTA,3.77,3.78,-,-,-,-,3.77,3.78,-
JAWA BARAT,7.52,6.76,-,11.75,10.77,-,8.71,7.83,-
JAWA TENGAH,11.21,10.55,-,14.77,13.92,-,13.01,12.23,-
DI YOGYAKARTA,11.72,11,-,16.11,15.86,-,13.02,12.36,-
JAWA TIMUR,7.87,7.13,-,15.82,15.58,-,11.77,11.2,-
BANTEN,4.52,4.69,-,7.61,7.81,-,5.45,5.59,-
BALI,3.58,3.46,-,5.45,5.42,-,4.25,4.14,-
NUSA TENGGARA BARAT,17.53,16.23,-,14.89,14.06,-,16.07,15.05,-
NUSA TENGGARA TIMUR,10.32,10.11,-,25.03,24.59,-,21.85,21.38,-
KALIMANTAN BARAT,4.88,5.25,-,9.28,9.09,-,7.88,7.86,-
KALIMANTAN TENGAH,4.59,5.01,-,5.81,5.41,-,5.37,5.26,-
KALIMANTAN SELATAN,3.46,3.59,-,5.73,5.6,-,4.73,4.7,-
KALIMANTAN TIMUR,3.99,4.27,-,10.5,9.74,-,6.19,6.08,-
KALIMANTAN UTARA,4.59,5.39,-,10.78,9.14,-,7.22,6.96,-
SULAWESI UTARA,5.14,5.03,-,10.77,10.59,-,8.1,7.9,-
SULAWESI TENGAH,10.16,10.39,-,15.54,15.59,-,14.14,14.22,-
SULAWESI SELATAN,4.48,4.76,-,12.59,12.65,-,9.38,9.48,-
SULAWESI TENGGARA,7.56,7.14,-,15.29,14.74,-,12.81,11.97,-
GORONTALO,5.64,4.9,-,24.52,24.29,-,17.65,17.14,-
SULAWESI BARAT,8.53,9.5,-,12.03,11.7,-,11.3,11.18,-
MALUKU,7.24,6.58,-,26.14,26.6,-,18.45,18.29,-
MALUKU UTARA,3.61,3.7,-,7.4,7.55,-,6.35,6.44,-
PAPUA BARAT,5.83,5.16,-,37.44,35.12,-,25.1,23.12,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.46,4.55,-,36.2,36.56,-,27.62,27.76,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.72,7.26,-,13.93,13.47,-,10.64,10.12,-
