38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2012,,,2012,,,2012,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,13.07,12.47,-,21.97,20.97,-,19.46,18.58,-
SUMATERA UTARA,10.32,10.28,-,11.01,10.53,-,10.67,10.41,-
SUMATERA BARAT,6.67,6.45,-,9.14,8.99,-,8.19,8,-
RIAU,6.43,6.68,-,9.36,8.94,-,8.22,8.05,-
JAMBI,10.44,10.53,-,7.52,7.29,-,8.42,8.28,-
SUMATERA SELATAN,14.16,13.29,-,13.57,13.58,-,13.78,13.48,-
BENGKULU,17.18,16.89,-,17.94,17.8,-,17.7,17.51,-
LAMPUNG,12,11.88,-,17.63,16.96,-,16.18,15.65,-
KEP. BANGKA BELITUNG,3.95,3.73,-,7.06,6.96,-,5.53,5.37,-
KEP. RIAU,7.15,6.77,-,6.94,7.08,-,7.11,6.83,-
DKI JAKARTA,3.69,3.7,-,-,0,-,3.69,3.7,-
JAWA BARAT,8.84,8.71,-,12.48,12.13,-,10.09,9.89,-
JAWA TENGAH,13.49,13.11,-,16.89,16.55,-,15.34,14.98,-
DI YOGYAKARTA,13.13,13.1,-,21.76,21.29,-,16.05,15.88,-
JAWA TIMUR,9.06,8.9,-,17.35,16.88,-,13.4,13.08,-
BANTEN,4.46,4.41,-,8.65,8.31,-,5.85,5.71,-
BALI,3.77,3.81,-,4.79,4.17,-,4.18,3.95,-
NUSA TENGGARA BARAT,22.69,21.65,-,15.72,15.41,-,18.63,18.02,-
NUSA TENGGARA TIMUR,12.22,12.21,-,22.98,22.41,-,20.88,20.41,-
KALIMANTAN BARAT,5.98,5.49,-,9.11,9.04,-,8.17,7.96,-
KALIMANTAN TENGAH,4.26,4.21,-,7.64,7.19,-,6.51,6.19,-
KALIMANTAN SELATAN,3.68,3.56,-,6.07,6.07,-,5.06,5.01,-
KALIMANTAN TIMUR,4.05,3.82,-,11.01,10.56,-,6.68,6.38,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,7.11,6.36,-,9.05,8.69,-,8.18,7.64,-
SULAWESI TENGAH,9.24,9.02,-,17.39,16.85,-,15.4,14.94,-
SULAWESI SELATAN,4.31,4.44,-,13.46,12.93,-,10.11,9.82,-
SULAWESI TENGGARA,4.99,4.62,-,17,16.24,-,13.71,13.06,-
GORONTALO,4.51,4.8,-,23.93,23.63,-,17.33,17.22,-
SULAWESI BARAT,10.12,10.03,-,14.17,13.92,-,13.24,13.01,-
MALUKU,9.78,8.39,-,28.88,28.12,-,21.78,20.76,-
MALUKU UTARA,2.55,2.92,-,10.69,9.98,-,8.47,8.06,-
PAPUA BARAT,5.76,5.36,-,37.73,36.33,-,28.2,27.04,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.24,5.81,-,40.56,39.39,-,31.11,30.66,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,8.78,8.6,-,15.12,14.7,-,11.96,11.66,-
