38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2008,,,2008,,,2008,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,16.67,-,-,26.3,-,-,23.53
SUMATERA UTARA,-,-,12.85,-,-,12.29,-,-,12.55
SUMATERA BARAT,-,-,8.3,-,-,11.91,-,-,10.67
RIAU,-,-,9.12,-,-,12.16,-,-,10.63
JAMBI,-,-,13.28,-,-,7.43,-,-,9.32
SUMATERA SELATAN,-,-,18.87,-,-,17.01,-,-,17.73
BENGKULU,-,-,21.95,-,-,19.93,-,-,20.64
LAMPUNG,-,-,17.85,-,-,22.14,-,-,20.98
KEP. BANGKA BELITUNG,-,-,7.57,-,-,9.52,-,-,8.58
KEP. RIAU,-,-,8.81,-,-,9.6,-,-,9.18
DKI JAKARTA,-,-,4.29,-,-,-,-,-,4.29
JAWA BARAT,-,-,10.88,-,-,16.05,-,-,13.01
JAWA TENGAH,-,-,16.34,-,-,21.96,-,-,19.23
DI YOGYAKARTA,-,-,14.99,-,-,24.32,-,-,18.32
JAWA TIMUR,-,-,13.15,-,-,23.64,-,-,18.51
BANTEN,-,-,6.15,-,-,11.18,-,-,8.15
BALI,-,-,5.7,-,-,6.81,-,-,6.17
NUSA TENGGARA BARAT,-,-,29.47,-,-,19.73,-,-,23.81
NUSA TENGGARA TIMUR,-,-,15.5,-,-,27.88,-,-,25.65
KALIMANTAN BARAT,-,-,9.98,-,-,11.49,-,-,11.07
KALIMANTAN TENGAH,-,-,5.81,-,-,10.2,-,-,8.71
KALIMANTAN SELATAN,-,-,5.79,-,-,6.97,-,-,6.48
KALIMANTAN TIMUR,-,-,5.89,-,-,15.47,-,-,9.51
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,7.56,-,-,12.04,-,-,10.1
SULAWESI TENGAH,-,-,11.47,-,-,23.22,-,-,20.75
SULAWESI SELATAN,-,-,6.05,-,-,16.79,-,-,13.34
SULAWESI TENGGARA,-,-,5.29,-,-,23.78,-,-,19.53
GORONTALO,-,-,9.87,-,-,31.72,-,-,24.88
SULAWESI BARAT,-,-,14.14,-,-,18.03,-,-,16.73
MALUKU,-,-,12.97,-,-,35.56,-,-,29.66
MALUKU UTARA,-,-,3.27,-,-,14.67,-,-,11.28
PAPUA BARAT,-,-,5.93,-,-,43.74,-,-,35.12
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,7.02,-,-,45.96,-,-,37.08
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,-,-,11.65,-,-,18.93,-,-,15.42
