38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2016,,,2016,,,2016,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,10.82,10.79,-,19.15,18.8,-,16.73,16.43,-
SUMATERA UTARA,9.75,9.69,-,10.97,10.86,-,10.35,10.27,-
SUMATERA BARAT,5.54,5.52,-,8.16,8.27,-,7.09,7.14,-
RIAU,6.4,6.38,-,9,8.51,-,7.98,7.67,-
JAMBI,10.86,10.73,-,7.32,7.3,-,8.41,8.37,-
SUMATERA SELATAN,12.74,12.73,-,13.99,13.77,-,13.54,13.39,-
BENGKULU,16.19,16.16,-,17.85,17.43,-,17.32,17.03,-
LAMPUNG,10.53,10.15,-,15.69,15.24,-,14.29,13.86,-
KEP. BANGKA BELITUNG,2.78,2.67,-,7.72,7.57,-,5.22,5.04,-
KEP. RIAU,5.16,4.99,-,10.43,10.47,-,5.98,5.84,-
DKI JAKARTA,3.75,3.75,-,-,0,-,3.75,3.75,-
JAWA BARAT,7.67,7.55,-,11.8,11.72,-,8.95,8.77,-
JAWA TENGAH,11.44,11.38,-,14.89,14.88,-,13.27,13.19,-
DI YOGYAKARTA,11.79,11.68,-,16.63,16.27,-,13.34,13.1,-
JAWA TIMUR,7.94,7.91,-,16.01,15.83,-,12.05,11.85,-
BANTEN,4.51,4.49,-,7.45,7.32,-,5.42,5.36,-
BALI,3.68,3.53,-,5.23,5.21,-,4.25,4.15,-
NUSA TENGGARA BARAT,18.2,17.55,-,15.17,14.82,-,16.48,16.02,-
NUSA TENGGARA TIMUR,10.58,10.17,-,25.17,25.19,-,22.19,22.01,-
KALIMANTAN BARAT,5.16,4.97,-,9.11,9.38,-,7.87,8,-
KALIMANTAN TENGAH,4.6,4.49,-,6.23,5.83,-,5.66,5.36,-
KALIMANTAN SELATAN,3.48,3.43,-,5.89,5.37,-,4.85,4.52,-
KALIMANTAN TIMUR,3.93,3.86,-,10.05,10.15,-,6.11,6,-
KALIMANTAN UTARA,3.78,4.5,-,9.47,10.29,-,6.23,6.99,-
SULAWESI UTARA,5.34,5.22,-,10.97,10.82,-,8.34,8.2,-
SULAWESI TENGAH,10.18,10.07,-,15.91,15.48,-,14.45,14.09,-
SULAWESI SELATAN,4.51,4.47,-,12.46,12.3,-,9.4,9.24,-
SULAWESI TENGGARA,6.74,6.87,-,15.49,15.31,-,12.88,12.77,-
GORONTALO,5.84,5.78,-,24.41,24.3,-,17.72,17.63,-
SULAWESI BARAT,8.59,8.43,-,12.56,12,-,11.74,11.19,-
MALUKU,7.66,7.86,-,26.82,26.88,-,19.18,19.26,-
MALUKU UTARA,3.32,3.76,-,7.44,7.43,-,6.33,6.41,-
PAPUA BARAT,6.14,5.69,-,37.48,37.33,-,25.43,24.88,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,4.42,4.21,-,37.14,37.07,-,28.54,28.4,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.79,7.73,-,14.11,13.96,-,10.86,10.7,-
